,RV0006P 10Y BLC Curncy,RV0006P 30Y BLC Curncy,S0141FS 1Y1Y BLC Curncy,S0141FS 2Y1Y BLC Curncy,S0141FS 3Y2Y BLC Curncy,S0141FS 5Y5Y BLC Curncy,S0141FS 2Y1Y BLC Curncy,S0141FS 3Y2Y BLC Curncy,S0141FS 5Y5Y BLC Curncy
6/28/2021, 0.82 , 1.19 ,0.3177,0.5474, 0.73 ,0.9591,0.5474,0.7268,0.9591
6/29/2021, 0.84 , 1.22 ,0.3103,0.5372, 0.74 ,0.9784,0.5372,0.7394,0.9784
6/30/2021, 0.81 , 1.21 ,0.305,0.5246, 0.71 ,0.9535,0.5246,0.7141,0.9535
7/1/2021, 0.83 , 1.22 ,0.3071,0.5457, 0.73 ,0.9691,0.5457,0.7316,0.9691
7/2/2021, 0.80 , 1.20 ,0.2917,0.5132, 0.70 ,0.9365,0.5132,0.7033,0.9365
7/5/2021, 0.82 , 1.21 ,0.2913,0.517, 0.71 ,0.9495,0.517,0.7112,0.9495
7/6/2021, 0.73 , 1.14 ,0.2717,0.4655, 0.62 ,0.8397,0.4655,0.6185,0.8397
7/7/2021, 0.70 , 1.10 ,0.2651,0.4375, 0.60 ,0.8061,0.4375,0.6017,0.8061
7/8/2021, 0.71 , 1.10 ,0.2844,0.458, 0.61 ,0.8124,0.458,0.6056,0.8124
7/9/2021, 0.75 , 1.15 ,0.3158,0.4899, 0.65 ,0.8687,0.4899,0.648,0.8687
7/12/2021, 0.75 , 1.13 ,0.3059,0.481, 0.64 ,0.8615,0.481,0.6428,0.8615
7/13/2021, 0.72 , 1.10 ,0.3163,0.4943, 0.64 ,0.8371,0.4943,0.6419,0.8371
7/14/2021, 0.72 , 1.08 ,0.335,0.5085, 0.64 ,0.8254,0.5085,0.637,0.8254
7/15/2021, 0.75 , 1.12 ,0.4091,0.5883, 0.67 ,0.8149,0.5883,0.6719,0.8149
7/16/2021, 0.72 , 1.09 ,0.3864,0.5608, 0.64 ,0.7775,0.5608,0.6359,0.7775
7/19/2021, 0.65 , 1.01 ,0.3282,0.4759, 0.55 ,0.7048,0.4759,0.5522,0.7048
7/20/2021, 0.65 , 0.98 ,0.3413,0.4788, 0.54 ,0.7127,0.4788,0.5393,0.7127
7/21/2021, 0.69 , 1.03 ,0.3465,0.4942, 0.61 ,0.7849,0.4942,0.6112,0.7849
7/22/2021, 0.66 , 0.97 ,0.3319,0.5007, 0.57 ,0.7292,0.5007,0.5671,0.7292
7/23/2021, 0.67 , 0.98 ,0.3375,0.5061, 0.59 ,0.751,0.5061,0.5942,0.751
7/26/2021, 0.66 , 0.96 ,0.3244,0.4883, 0.60 ,0.7359,0.4883,0.602,0.7359
7/27/2021, 0.65 , 0.94 ,0.3323,0.4921, 0.58 ,0.7177,0.4921,0.5805,0.7177
7/28/2021, 0.66 , 0.96 ,0.3484,0.5151, 0.60 ,0.7523,0.5151,0.6024,0.7523
7/29/2021, 0.66 , 0.97 ,0.3429,0.4953, 0.59 ,0.7396,0.4953,0.5941,0.7396
7/30/2021, 0.66 , 0.96 ,0.3361,0.4889, 0.58 ,0.7198,0.4889,0.5791,0.7198
8/2/2021, 0.61 , 0.92 ,0.3108,0.4494, 0.53 ,0.6613,0.4494,0.5286,0.6613
8/3/2021, 0.61 , 0.91 ,0.3163,0.4425, 0.54 ,0.667,0.4425,0.5419,0.667
8/4/2021, 0.60 , 0.90 ,0.3407,0.4721, 0.54 ,0.6526,0.4721,0.5375,0.6526
8/5/2021, 0.61 , 0.90 ,0.3635,0.4733, 0.52 ,0.6467,0.4733,0.5206,0.6467
8/6/2021, 0.70 , 0.97 ,0.4216,0.5365, 0.61 ,0.7489,0.5365,0.6128,0.7489
8/9/2021, 0.67 , 0.91 ,0.4122,0.5205, 0.59 ,0.7119,0.5205,0.5892,0.7119
8/10/2021, 0.67 , 0.91 ,0.4335,0.5424, 0.60 ,0.7054,0.5424,0.5978,0.7054
8/11/2021, 0.66 , 0.90 ,0.4155,0.5147, 0.58 ,0.6929,0.5147,0.5835,0.6929
8/12/2021, 0.69 , 0.95 ,0.4267,0.5501, 0.61 ,0.7303,0.5501,0.6119,0.7303
8/13/2021, 0.66 , 0.92 ,0.4128,0.5229, 0.59 ,0.6885,0.5229,0.5894,0.6885
8/16/2021, 0.66 , 0.93 ,0.412,0.5217, 0.58 ,0.6928,0.5217,0.5838,0.6928
8/17/2021, 0.65 , 0.91 ,0.4097,0.5219, 0.58 ,0.676,0.5219,0.5847,0.676
8/18/2021, 0.66 , 0.93 ,0.4005,0.5163, 0.60 ,0.7092,0.5163,0.595,0.7092
8/19/2021, 0.63 , 0.91 ,0.3797,0.4926, 0.54 ,0.6647,0.4926,0.5441,0.6647
8/20/2021, 0.62 , 0.91 ,0.3654,0.4868, 0.53 ,0.6619,0.4868,0.5334,0.6619
8/23/2021, 0.63 , 0.92 ,0.3781,0.488, 0.55 ,0.6669,0.488,0.5539,0.6669
8/24/2021, 0.63 , 0.92 ,0.3775,0.4894, 0.56 ,0.6872,0.4894,0.5626,0.6872
8/25/2021, 0.69 , 0.99 ,0.4015,0.5238, 0.62 ,0.759,0.5238,0.6172,0.759
8/26/2021, 0.70 , 0.99 ,0.4134,0.5389, 0.63 ,0.7644,0.5389,0.6334,0.7644
8/27/2021, 0.67 , 0.97 ,0.392,0.5096, 0.60 ,0.7347,0.5096,0.6048,0.7347
8/30/2021, 0.67 , 0.97 ,0.3925,0.507, 0.61 ,0.7346,0.507,0.6051,0.7346
8/31/2021, 0.72 , 1.03 ,0.3998,0.5353, 0.65 ,0.8018,0.5353,0.6466,0.8018
9/1/2021, 0.70 , 1.01 ,0.3934,0.5265, 0.62 ,0.766,0.5265,0.618,0.766
9/2/2021, 0.68 , 0.99 ,0.3806,0.5115, 0.61 ,0.761,0.5115,0.6088,0.761
9/3/2021, 0.72 , 1.04 ,0.3829,0.5237, 0.63 ,0.8072,0.5237,0.6339,0.8072
9/6/2021, 0.70 , 1.01 ,0.3632,0.5073, 0.61 ,0.7772,0.5073,0.6125,0.7772
9/7/2021, 0.74 , 1.05 ,0.3896,0.5452, 0.65 ,0.8257,0.5452,0.6511,0.8257
9/8/2021, 0.75 , 1.05 ,0.428,0.582, 0.66 ,0.8335,0.582,0.6647,0.8335
9/9/2021, 0.74 , 1.03 ,0.4397,0.5816, 0.66 ,0.8098,0.5816,0.6644,0.8098
9/10/2021, 0.76 , 1.05 ,0.4462,0.584, 0.69 ,0.8329,0.584,0.6914,0.8329
9/13/2021, 0.75 , 1.02 ,0.4466,0.6022, 0.68 ,0.8173,0.6022,0.6777,0.8173
9/14/2021, 0.74 , 1.01 ,0.4771,0.6222, 0.69 ,0.8037,0.6222,0.6865,0.8037
9/15/2021, 0.78 , 1.05 ,0.4924,0.6618, 0.75 ,0.8508,0.6618,0.7462,0.8508
9/16/2021, 0.82 , 1.09 ,0.519,0.7091, 0.79 ,0.89,0.7091,0.7901,0.89
9/17/2021, 0.85 , 1.12 ,0.5381,0.733, 0.82 ,0.9358,0.733,0.8205,0.9358
9/20/2021, 0.80 , 1.07 ,0.4959,0.6642, 0.75 ,0.8627,0.6642,0.7549,0.8627
9/21/2021, 0.81 , 1.09 ,0.5088,0.685, 0.78 ,0.9012,0.685,0.7772,0.9012
9/22/2021, 0.81 , 1.09 ,0.524,0.6836, 0.77 ,0.8812,0.6836,0.7709,0.8812
9/23/2021, 0.90 , 1.17 ,0.6452,0.789, 0.87 ,0.9745,0.789,0.8663,0.9745
9/24/2021, 0.92 , 1.20 ,0.634,0.7618, 0.86 ,0.9875,0.7618,0.8614,0.9875
9/27/2021, 0.95 , 1.25 ,0.6464,0.7858, 0.88 ,1.0475,0.7858,0.8803,1.0475
9/28/2021, 0.99 , 1.29 ,0.6966,0.8348, 0.91 ,1.064,0.8348,0.9068,1.064
9/29/2021, 0.99 , 1.30 ,0.735,0.8531, 0.91 ,1.0787,0.8531,0.9108,1.0787
9/30/2021, 1.02 , 1.34 ,0.712,0.8565, 0.94 ,1.0944,0.8565,0.9368,1.0944
10/1/2021, 1.00 , 1.33 ,0.6977,0.8378, 0.93 ,1.0882,0.8378,0.9341,1.0882
10/4/2021, 1.01 , 1.35 ,0.676,0.825, 0.93 ,1.1121,0.825,0.9325,1.1121
10/5/2021, 1.08 , 1.42 ,0.7354,0.8802, 1.01 ,1.2124,0.8802,1.0144,1.2124
10/6/2021, 1.07 , 1.40 ,0.7448,0.8808, 0.99 ,1.1701,0.8808,0.9861,1.1701
10/7/2021, 1.08 , 1.40 ,0.7826,0.8928, 0.98 ,1.1616,0.8928,0.9778,1.1616
10/8/2021, 1.16 , 1.47 ,0.8617,0.9626, 1.06 ,1.2399,0.9626,1.0608,1.2399
10/11/2021, 1.19 , 1.49 ,0.9638,1.0187, 1.06 ,1.2488,1.0187,1.0608,1.2488
10/12/2021, 1.15 , 1.42 ,0.939,1.0032, 1.01 ,1.1889,1.0032,1.0104,1.1889
10/13/2021, 1.08 , 1.31 ,0.9545,0.9746, 0.96 ,1.1046,0.9746,0.9632,1.1046
10/14/2021, 1.04 , 1.25 ,0.9128,0.9437, 0.90 ,1.033,0.9437,0.9011,1.033
10/15/2021, 1.10 , 1.34 ,0.9947,1.0208, 0.99 ,1.1182,1.0208,0.9871,1.1182
10/18/2021, 1.13 , 1.34 ,1.1982,1.0948, 0.95 ,1.0826,1.0948,0.9509,1.0826
10/19/2021, 1.16 , 1.33 ,1.2129,1.1317, 1.00 ,1.0953,1.1317,0.9959,1.0953
10/20/2021, 1.15 , 1.35 ,1.1455,1.0947, 1.00 ,1.0972,1.0947,0.9959,1.0972
10/21/2021, 1.20 , 1.40 ,1.172,1.1418, 1.07 ,1.185,1.1418,1.0692,1.185
10/22/2021, 1.14 , 1.31 ,1.1437,1.1256, 1.03 ,1.1014,1.1256,1.0258,1.1014
10/25/2021, 1.14 , 1.31 ,1.1134,1.0895, 1.02 ,1.0931,1.0895,1.0153,1.0931
10/26/2021, 1.11 , 1.27 ,1.1018,1.0715, 0.99 ,1.0429,1.0715,0.9896,1.0429
10/27/2021, 0.99 , 1.09 ,1.2029,1.1282, 0.83 ,0.8445,1.1282,0.8291,0.8445
10/28/2021, 1.01 , 1.06 ,1.2476,1.1565, 0.93 ,0.8597,1.1565,0.926,0.8597
10/29/2021, 1.04 , 1.06 ,1.2996,1.2213, 0.99 ,0.8901,1.2213,0.9938,0.8901
11/1/2021, 1.07 , 1.09 ,1.2982,1.2291, 1.02 ,0.9251,1.2291,1.0169,0.9251
11/2/2021, 1.04 , 1.13 ,1.2179,1.1733, 0.98 ,0.9334,1.1733,0.9815,0.9334
11/3/2021, 1.07 , 1.16 ,1.2673,1.2474, 1.01 ,0.9701,1.2474,1.0101,0.9701
11/4/2021, 0.94 , 1.11 ,1.0486,1.0542, 0.93 ,0.9435,1.0542,0.9308,0.9435
11/5/2021, 0.85 , 0.99 ,0.9823,0.9983, 0.85 ,0.8077,0.9983,0.8486,0.8077
11/8/2021, 0.86 , 0.97 ,1.0374,1.0714, 0.83 ,0.7929,1.0714,0.826,0.7929
11/9/2021, 0.83 , 0.90 ,1.1102,1.0983, 0.83 ,0.7093,1.0983,0.8339,0.7093
11/10/2021, 0.93 , 1.03 ,1.1931,1.1874, 0.99 ,0.8361,1.1874,0.9924,0.8361
11/11/2021, 0.93 , 1.03 ,1.248,1.2509, 1.02 ,0.8646,1.2509,1.0173,0.8646
11/12/2021, 0.92 , 1.05 ,1.2313,1.2165, 0.98 ,0.853,1.2165,0.9774,0.853
11/15/2021, 0.97 , 1.09 ,1.2253,1.209, 1.03 ,0.9164,1.209,1.03,0.9164
11/16/2021, 1.00 , 1.11 ,1.3123,1.3266, 1.08 ,0.9289,1.3266,1.0809,0.9289
11/17/2021, 0.97 , 1.10 ,1.2342,1.2436, 1.04 ,0.911,1.2436,1.035,0.911
11/18/2021, 0.93 , 1.06 ,1.1874,1.162, 0.99 ,0.8652,1.162,0.9906,0.8652
11/19/2021, 0.89 , 1.00 ,1.1656,1.1275, 0.95 ,0.8118,1.1275,0.9495,0.8118
11/22/2021, 0.94 , 1.05 ,1.2337,1.1709, 0.99 ,0.8587,1.1709,0.9923,0.8587
11/23/2021, 1.00 , 1.06 ,1.2539,1.2542, 1.04 ,0.8924,1.2542,1.0402,0.8924
11/24/2021, 1.00 , 1.05 ,1.2447,1.2431, 1.06 ,0.9068,1.2431,1.0555,0.9068
11/25/2021, 0.97 , 1.02 ,1.2303,1.2279, 1.04 ,0.8732,1.2279,1.0434,0.8732
11/26/2021, 0.82 , 0.89 ,1.1186,1.1363, 0.92 ,0.7339,1.1363,0.9234,0.7339
11/29/2021, 0.87 , 0.91 ,1.1463,1.1488, 0.96 ,0.7801,1.1488,0.9551,0.7801
11/30/2021, 0.82 , 0.81 ,1.1694,1.1877, 0.88 ,0.6736,1.1877,0.8765,0.6736
12/1/2021, 0.83 , 0.85 ,1.1433,1.1133, 0.88 ,0.6762,1.1133,0.8772,0.6762
12/2/2021, 0.83 , 0.86 ,1.1301,1.1092, 0.89 ,0.6995,1.1092,0.8912,0.6995
12/3/2021, 0.77 , 0.80 ,1.0588,1.0535, 0.82 ,0.6166,1.0535,0.8171,0.6166
12/6/2021, 0.75 , 0.78 ,1.0464,1.0055, 0.82 ,0.6209,1.0055,0.8229,0.6209
12/7/2021, 0.75 , 0.75 ,1.0471,1.0271, 0.83 ,0.6067,1.0271,0.8257,0.6067
12/8/2021, 0.79 , 0.78 ,1.0456,1.0417, 0.85 ,0.6641,1.0417,0.8524,0.6641
12/9/2021, 0.77 , 0.81 ,1.0261,1.0137, 0.82 ,0.6482,1.0137,0.8193,0.6482
12/10/2021, 0.76 , 0.82 ,1.0069,0.9669, 0.79 ,0.6327,0.9669,0.7873,0.6327
12/13/2021, 0.71 , 0.80 ,0.9955,0.9432, 0.71 ,0.5961,0.9432,0.7063,0.5961
12/14/2021, 0.74 , 0.84 ,1.0396,0.9788, 0.76 ,0.6297,0.9788,0.7606,0.6297
12/15/2021, 0.75 , 0.87 ,1.0871,0.9954, 0.77 ,0.6392,0.9954,0.7735,0.6392
12/16/2021, 0.78 , 0.89 ,1.1036,1.0254, 0.75 ,0.6236,1.0254,0.7482,0.6236
12/17/2021, 0.78 , 0.90 ,1.0977,1.0179, 0.76 ,0.6319,1.0179,0.7581,0.6319
12/20/2021, 0.80 , 0.93 ,1.1184,1.0368, 0.80 ,0.6668,1.0368,0.8006,0.6668
12/21/2021, 0.90 , 1.03 ,1.23,1.1712, 0.91 ,0.7632,1.1712,0.9132,0.7632
12/22/2021, 0.91 , 1.04 ,1.2449,1.2121, 0.95 ,0.773,1.2121,0.9512,0.773
12/23/2021, 0.94 , 1.06 ,1.2672,1.2319, 0.97 ,0.7997,1.2319,0.968,0.7997
12/24/2021, 0.94 , 1.06 ,1.2924,1.2299, 0.96 ,0.7836,1.2299,0.9587,0.7836
12/27/2021, 0.95 , 1.06 ,1.2281,1.2078, 1.00 ,0.7836,1.2078,1.0015,0.7836
12/28/2021, 0.95 , 1.06 ,1.2281,1.2078, 1.00 ,0.7836,1.2078,1.0015,0.7836
12/29/2021, 1.04 , 1.15 ,1.306,1.2882, 1.05 ,0.9007,1.2882,1.0545,0.9007
12/30/2021, 1.00 , 1.10 ,1.2739,1.2589, 1.01 ,0.8639,1.2589,1.0101,0.8639
12/31/2021, 0.99 , 1.09 ,1.2549,1.2165, 1.01 ,0.8473,1.2165,1.0063,0.8473
1/3/2022, 0.99 , 1.09 ,1.2558,1.2178, 1.01 ,0.8473,1.2178,1.0057,0.8473
1/4/2022, 1.10 , 1.18 ,1.2983,1.2778, 1.09 ,0.9747,1.2778,1.087,0.9747
1/5/2022, 1.10 , 1.17 ,1.3164,1.2842, 1.09 ,0.9682,1.2842,1.0921,0.9682
1/6/2022, 1.17 , 1.24 ,1.3756,1.3341, 1.16 ,1.0405,1.3341,1.1603,1.0405
1/7/2022, 1.19 , 1.26 ,1.3771,1.3595, 1.19 ,1.079,1.3595,1.1922,1.079
1/10/2022, 1.21 , 1.28 ,1.3862,1.356, 1.20 ,1.0993,1.356,1.2048,1.0993
1/11/2022, 1.19 , 1.23 ,1.3808,1.3439, 1.19 ,1.0636,1.3439,1.1862,1.0636
1/12/2022, 1.16 , 1.21 ,1.3232,1.2995, 1.13 ,1.0207,1.2995,1.1341,1.0207
1/13/2022, 1.13 , 1.18 ,1.2896,1.2561, 1.11 ,0.999,1.2561,1.1094,0.999
1/14/2022, 1.17 , 1.22 ,1.3339,1.2888, 1.15 ,1.0513,1.2888,1.148,1.0513
1/17/2022, 1.21 , 1.26 ,1.3595,1.3043, 1.18 ,1.0773,1.3043,1.1786,1.0773
1/18/2022, 1.24 , 1.30 ,1.401,1.3532, 1.20 ,1.1082,1.3532,1.2035,1.1082
1/19/2022, 1.28 , 1.34 ,1.4498,1.3813, 1.22 ,1.1178,1.3813,1.2237,1.1178
1/20/2022, 1.25 , 1.31 ,1.4394,1.3657, 1.19 ,1.0698,1.3657,1.1917,1.0698
1/21/2022, 1.19 , 1.26 ,1.3963,1.3233, 1.15 ,1.0053,1.3233,1.1458,1.0053
1/24/2022, 1.15 , 1.21 ,1.3973,1.3051, 1.13 ,0.9647,1.3051,1.1263,0.9647
1/25/2022, 1.19 , 1.25 ,1.4317,1.3715, 1.16 ,1.0179,1.3715,1.1616,1.0179
1/26/2022, 1.22 , 1.30 ,1.4547,1.3948, 1.20 ,1.0569,1.3948,1.2001,1.0569
1/27/2022, 1.25 , 1.32 ,1.5034,1.4144, 1.21 ,1.0504,1.4144,1.2074,1.0504
1/28/2022, 1.27 , 1.33 ,1.5454,1.4364, 1.22 ,1.0741,1.4364,1.2199,1.0741
1/31/2022, 1.33 , 1.41 ,1.6336,1.5132, 1.23 ,1.1194,1.5132,1.2334,1.1194
2/1/2022, 1.33 , 1.39 ,1.6171,1.5163, 1.24 ,1.1123,1.5163,1.2405,1.1123
2/2/2022, 1.28 , 1.33 ,1.5883,1.48, 1.23 ,1.0793,1.48,1.2269,1.0793
2/3/2022, 1.39 , 1.42 ,1.7153,1.5456, 1.31 ,1.1668,1.5456,1.3063,1.1668
2/4/2022, 1.43 , 1.44 ,1.8079,1.6125, 1.32 ,1.1777,1.6125,1.3221,1.1777
2/7/2022, 1.43 , 1.47 ,1.8292,1.6367, 1.32 ,1.1735,1.6367,1.3248,1.1735
2/8/2022, 1.51 , 1.56 ,1.9055,1.7256, 1.43 ,1.2773,1.7256,1.4313,1.2773
2/9/2022, 1.45 , 1.50 ,1.8979,1.702, 1.40 ,1.2141,1.702,1.404,1.2141
2/10/2022, 1.55 , 1.58 ,2.0331,1.8515, 1.52 ,1.3052,1.8515,1.5223,1.3052
2/11/2022, 1.57 , 1.58 ,2.1528,1.9194, 1.51 ,1.2597,1.9194,1.5136,1.2597
2/14/2022, 1.61 , 1.62 ,2.2777,2.0009, 1.55 ,1.2693,2.0009,1.5505,1.2693
2/15/2022, 1.61 , 1.57 ,2.3022,2.0413, 1.57 ,1.2595,2.0413,1.5714,1.2595
2/16/2022, 1.55 , 1.55 ,2.123,1.8988, 1.50 ,1.2282,1.8988,1.5007,1.2282
2/17/2022, 1.49 , 1.51 ,2.0564,1.8392, 1.43 ,1.1747,1.8392,1.4288,1.1747
2/18/2022, 1.41 , 1.43 ,1.9519,1.7304, 1.35 ,1.107,1.7304,1.349,1.107
2/21/2022, 1.44 , 1.46 ,2.0099,1.7832, 1.39 ,1.1587,1.7832,1.3933,1.1587
2/22/2022, 1.50 , 1.51 ,2.0601,1.8469, 1.50 ,1.2486,1.8469,1.5032,1.2486
2/23/2022, 1.51 , 1.53 ,2.0301,1.8192, 1.48 ,1.2691,1.8192,1.4829,1.2691
2/24/2022, 1.48 , 1.54 ,2.0459,1.8393, 1.47 ,1.2722,1.8393,1.47,1.2722
2/25/2022, 1.49 , 1.59 ,2.0065,1.8068, 1.48 ,1.314,1.8068,1.4768,1.314
2/28/2022, 1.41 , 1.54 ,1.844,1.6693, 1.40 ,1.2707,1.6693,1.3992,1.2707
