,RV0006P 10Y BLC Curncy,RV0006P 30Y BLC Curncy,S0141FS 1Y1Y BLC Curncy,S0141FS 2Y1Y BLC Curncy,S0141FS 3Y2Y BLC Curncy,S0141FS 5Y5Y BLC Curncy,S0141FS 2Y1Y BLC Curncy,S0141FS 3Y2Y BLC Curncy,S0141FS 5Y5Y BLC Curncy
3/1/2022, 1.13 , 1.31 ,1.6054,1.3566, 1.12 ,0.9954,1.3566,1.1241,0.9954
3/2/2022, 1.26 , 1.43 ,1.8647,1.5358, 1.30 ,1.0986,1.5358,1.3019,1.0986
3/3/2022, 1.30 , 1.48 ,1.9318,1.6478, 1.33 ,1.1296,1.6478,1.3348,1.1296
3/4/2022, 1.21 , 1.40 ,1.9476,1.6413, 1.28 ,1.0565,1.6413,1.2847,1.0565
3/7/2022, 1.31 , 1.46 ,2.0449,1.7457, 1.35 ,1.0666,1.7457,1.3524,1.0666
3/8/2022, 1.45 , 1.58 ,2.1831,1.8474, 1.49 ,1.2011,1.8474,1.4927,1.2011
3/9/2022, 1.53 , 1.65 ,2.2759,1.9227, 1.57 ,1.2716,1.9227,1.5671,1.2716
3/10/2022, 1.53 , 1.66 ,2.2508,1.9252, 1.58 ,1.2988,1.9252,1.5847,1.2988
3/11/2022, 1.49 , 1.63 ,2.2835,1.9057, 1.57 ,1.2656,1.9057,1.5675,1.2656
3/14/2022, 1.60 , 1.72 ,2.3435,1.9959, 1.66 ,1.3938,1.9959,1.6602,1.3938
3/15/2022, 1.58 , 1.71 ,2.3081,1.9495, 1.64 ,1.3875,1.9495,1.6447,1.3875
3/16/2022, 1.63 , 1.76 ,2.3581,2.0186, 1.65 ,1.4369,2.0186,1.6534,1.4369
3/17/2022, 1.57 , 1.74 ,2.1709,1.9108, 1.64 ,1.4085,1.9108,1.6381,1.4085
3/18/2022, 1.50 , 1.69 ,2.1167,1.8497, 1.56 ,1.3609,1.8497,1.5578,1.3609
3/21/2022, 1.64 , 1.82 ,2.316,1.974, 1.71 ,1.4884,1.974,1.7057,1.4884
3/22/2022, 1.71 , 1.87 ,2.4285,2.093, 1.76 ,1.5315,2.093,1.7588,1.5315
3/23/2022, 1.63 , 1.80 ,2.3246,1.9756, 1.69 ,1.4594,1.9756,1.6931,1.4594
3/24/2022, 1.65 , 1.80 ,2.3142,1.9784, 1.71 ,1.507,1.9784,1.7076,1.507
3/25/2022, 1.70 , 1.84 ,2.4365,2.0719, 1.76 ,1.524,2.0719,1.7609,1.524
3/28/2022, 1.62 , 1.73 ,2.3641,2.0095, 1.68 ,1.431,2.0095,1.6839,1.431
3/29/2022, 1.65 , 1.75 ,2.3749,2.0243, 1.71 ,1.4776,2.0243,1.7089,1.4776
3/30/2022, 1.67 , 1.77 ,2.4635,2.0557, 1.73 ,1.4781,2.0557,1.7257,1.4781
3/31/2022, 1.62 , 1.72 ,2.3924,2.0178, 1.68 ,1.4098,2.0178,1.6812,1.4098
4/1/2022, 1.62 , 1.69 ,2.4376,2.0301, 1.66 ,1.3868,2.0301,1.6623,1.3868
4/4/2022, 1.56 , 1.62 ,2.4014,1.9766, 1.60 ,1.3208,1.9766,1.5953,1.3208
4/5/2022, 1.67 , 1.71 ,2.4885,2.0819, 1.71 ,1.4251,2.0819,1.7053,1.4251
4/6/2022, 1.72 , 1.76 ,2.5023,2.097, 1.75 ,1.4877,2.097,1.7464,1.4877
4/7/2022, 1.74 , 1.81 ,2.5266,2.1401, 1.78 ,1.5335,2.1401,1.7828,1.5335
4/8/2022, 1.76 , 1.84 ,2.5547,2.1616, 1.82 ,1.5697,2.1616,1.8236,1.5697
4/11/2022, 1.86 , 1.93 ,2.6246,2.2641, 1.94 ,1.6875,2.2641,1.9389,1.6875
4/12/2022, 1.82 , 1.90 ,2.5616,2.2047, 1.90 ,1.6283,2.2047,1.8973,1.6283
4/13/2022, 1.81 , 1.90 ,2.5662,2.2014, 1.88 ,1.657,2.2014,1.8829,1.657
4/14/2022, 1.90 , 2.00 ,2.6212,2.2658, 1.99 ,1.7427,2.2658,1.9877,1.7427
4/15/2022, 1.90 , 2.00 ,2.6352,2.2526, 1.99 ,1.7454,2.2526,1.9861,1.7454
4/18/2022, 1.90 , 2.00 ,2.6312,2.2567, 1.99 ,1.7454,2.2567,1.9861,1.7454
4/19/2022, 1.98 , 2.08 ,2.6938,2.3334, 2.05 ,1.8436,2.3334,2.0475,1.8436
4/20/2022, 1.93 , 2.02 ,2.7007,2.2957, 1.98 ,1.7693,2.2957,1.9794,1.7693
4/21/2022, 2.03 , 2.06 ,2.8818,2.4368, 2.04 ,1.8077,2.4368,2.04,1.8077
4/22/2022, 1.98 , 1.98 ,2.7676,2.3585, 1.99 ,1.7543,2.3585,1.9899,1.7543
4/25/2022, 1.86 , 1.89 ,2.5753,2.1947, 1.88 ,1.6463,2.1947,1.8849,1.6463
4/26/2022, 1.82 , 1.85 ,2.5128,2.1397, 1.84 ,1.6099,2.1397,1.8418,1.6099
4/27/2022, 1.83 , 1.88 ,2.4967,2.1121, 1.84 ,1.6281,2.1121,1.8364,1.6281
4/28/2022, 1.89 , 1.96 ,2.5363,2.1546, 1.90 ,1.7213,2.1546,1.9028,1.7213
4/29/2022, 1.92 , 1.98 ,2.5827,2.2236, 1.92 ,1.7386,2.2236,1.9168,1.7386
5/2/2022, 1.92 , 1.99 ,2.5936,2.2178, 1.92 ,1.7385,2.2178,1.9154,1.7385
5/3/2022, 1.97 , 2.03 ,2.6392,2.2464, 1.98 ,1.7813,2.2464,1.9788,1.7813
5/4/2022, 1.98 , 2.03 ,2.6736,2.266, 1.95 ,1.7588,2.266,1.9537,1.7588
5/5/2022, 1.98 , 2.07 ,2.5574,2.2277, 1.97 ,1.8277,2.2277,1.9684,1.8277
5/6/2022, 2.01 , 2.12 ,2.5432,2.2483, 2.00 ,1.8822,2.2483,2.0041,1.8822
5/9/2022, 1.97 , 2.11 ,2.4317,2.1856, 2.01 ,1.8947,2.1856,2.0135,1.8947
5/10/2022, 1.86 , 2.01 ,2.3899,2.148, 1.93 ,1.78,2.148,1.9253,1.78
5/11/2022, 1.84 , 2.02 ,2.3616,2.0841, 1.89 ,1.7281,2.0841,1.8887,1.7281
5/12/2022, 1.68 , 1.87 ,2.2707,1.9448, 1.76 ,1.5776,1.9448,1.7577,1.5776
5/13/2022, 1.77 , 1.95 ,2.3219,2.0117, 1.81 ,1.6589,2.0117,1.8118,1.6589
5/16/2022, 1.75 , 1.93 ,2.3517,2.0188, 1.81 ,1.6607,2.0188,1.8118,1.6607
5/17/2022, 1.90 , 2.04 ,2.5476,2.1701, 1.96 ,1.7569,2.1701,1.9598,1.7569
5/18/2022, 1.89 , 2.04 ,2.5005,2.1459, 1.92 ,1.726,2.1459,1.921,1.726
5/19/2022, 1.89 , 2.04 ,2.5253,2.1698, 1.92 ,1.7021,2.1698,1.9185,1.7021
5/20/2022, 1.92 , 2.08 ,2.5166,2.2071, 1.92 ,1.7257,2.2071,1.9233,1.7257
5/23/2022, 1.99 , 2.13 ,2.5963,2.2599, 2.02 ,1.8248,2.2599,2.0198,1.8248
5/24/2022, 1.91 , 2.08 ,2.4379,2.1852, 1.98 ,1.7819,2.1852,1.9779,1.7819
5/25/2022, 1.93 , 2.11 ,2.438,2.1612, 1.98 ,1.8079,2.1612,1.9799,1.8079
5/26/2022, 1.99 , 2.18 ,2.4931,2.224, 2.03 ,1.8857,2.224,2.033,1.8857
5/27/2022, 1.94 , 2.14 ,2.4874,2.191, 2.00 ,1.8223,2.191,1.9971,1.8223
5/30/2022, 2.01 , 2.21 ,2.5569,2.2621, 2.04 ,1.8844,2.2621,2.0422,1.8844
5/31/2022, 2.12 , 2.35 ,2.6608,2.367, 2.16 ,2.0073,2.367,2.162,2.0073
6/1/2022, 2.17 , 2.38 ,2.8057,2.4792, 2.21 ,2.0074,2.4792,2.2127,2.0074
6/2/2022, 2.18 , 2.38 ,2.8076,2.4796, 2.21 ,2.0073,2.4796,2.2135,2.0073
6/3/2022, 2.18 , 2.38 ,2.8076,2.4796, 2.21 ,2.0073,2.4796,2.2135,2.0073
6/6/2022, 2.26 , 2.44 ,2.9049,2.6218, 2.32 ,2.1012,2.6218,2.3185,2.1012
6/7/2022, 2.23 , 2.39 ,2.898,2.597, 2.27 ,2.0463,2.597,2.2668,2.0463
6/8/2022, 2.26 , 2.42 ,2.948,2.6412, 2.30 ,2.0808,2.6412,2.3041,2.0808
6/9/2022, 2.34 , 2.45 ,3.0945,2.7766, 2.39 ,2.1496,2.7766,2.3942,2.1496
6/10/2022, 2.46 , 2.53 ,3.3083,2.9634, 2.52 ,2.2355,2.9634,2.5185,2.2355
6/13/2022, 2.54 , 2.60 ,3.4744,3.0883, 2.58 ,2.2867,3.0883,2.5834,2.2867
6/14/2022, 2.60 , 2.69 ,3.443,3.0253, 2.66 ,2.4412,3.0253,2.6612,2.4412
6/15/2022, 2.47 , 2.60 ,3.2359,2.836, 2.55 ,2.3335,2.836,2.5464,2.3335
6/16/2022, 2.53 , 2.63 ,3.3127,2.8469, 2.57 ,2.3298,2.8469,2.5734,2.3298
6/17/2022, 2.51 , 2.63 ,3.4007,2.9131, 2.51 ,2.2619,2.9131,2.5059,2.2619
6/20/2022, 2.62 , 2.76 ,3.4741,2.9897, 2.64 ,2.4144,2.9897,2.6354,2.4144
6/21/2022, 2.67 , 2.84 ,3.4434,2.996, 2.69 ,2.5012,2.996,2.6917,2.5012
6/22/2022, 2.51 , 2.70 ,3.2153,2.7965, 2.56 ,2.3864,2.7965,2.5569,2.3864
6/23/2022, 2.34 , 2.54 ,2.9029,2.5433, 2.34 ,2.1985,2.5433,2.3434,2.1985
6/24/2022, 2.33 , 2.51 ,2.9268,2.5315, 2.35 ,2.1816,2.5315,2.3477,2.1816
6/27/2022, 2.42 , 2.60 ,3.0294,2.6683, 2.43 ,2.2795,2.6683,2.4273,2.2795
6/28/2022, 2.50 , 2.67 ,3.1713,2.7914, 2.54 ,2.3677,2.7914,2.5373,2.3677
6/29/2022, 2.42 , 2.63 ,3.0901,2.7385, 2.49 ,2.3219,2.7385,2.4922,2.3219
6/30/2022, 2.27 , 2.52 ,2.7757,2.4716, 2.33 ,2.1622,2.4716,2.3288,2.1622
7/1/2022, 2.13 , 2.42 ,2.6147,2.2964, 2.17 ,2.0481,2.2964,2.1718,2.0481
7/4/2022, 2.24 , 2.53 ,2.7435,2.4032, 2.29 ,2.1562,2.4032,2.289,2.1562
7/5/2022, 2.10 , 2.43 ,2.609,2.1619, 2.16 ,2.0187,2.1619,2.1551,2.0187
7/6/2022, 2.15 , 2.50 ,2.6786,2.2568, 2.20 ,2.073,2.2568,2.1969,2.073
7/7/2022, 2.19 , 2.52 ,2.8346,2.3751, 2.25 ,2.0815,2.3751,2.2451,2.0815
7/8/2022, 2.29 , 2.61 ,2.9693,2.5274, 2.36 ,2.1901,2.5274,2.357,2.1901
7/11/2022, 2.24 , 2.58 ,2.8311,2.4288, 2.30 ,2.1522,2.4288,2.2961,2.1522
7/12/2022, 2.14 , 2.56 ,2.6711,2.2593, 2.19 ,2.0916,2.2593,2.1924,2.0916
7/13/2022, 2.14 , 2.51 ,2.7121,2.2522, 2.18 ,2.0511,2.2522,2.1781,2.0511
7/14/2022, 2.17 , 2.54 ,2.8564,2.3463, 2.21 ,2.0772,2.3463,2.2105,2.0772
7/15/2022, 2.16 , 2.57 ,2.7945,2.2989, 2.19 ,2.0741,2.2989,2.189,2.0741
7/18/2022, 2.23 , 2.62 ,2.8591,2.3866, 2.25 ,2.1127,2.3866,2.2533,2.1127
7/19/2022, 2.25 , 2.66 ,2.9313,2.4343, 2.28 ,2.1652,2.4343,2.2832,2.1652
7/20/2022, 2.21 , 2.64 ,2.8713,2.3921, 2.26 ,2.122,2.3921,2.2562,2.122
7/21/2022, 2.12 , 2.50 ,2.7925,2.3153, 2.18 ,2.0195,2.3153,2.1786,2.0195
7/22/2022, 2.01 , 2.42 ,2.6195,2.1915, 2.07 ,1.9654,2.1915,2.0653,1.9654
7/25/2022, 2.00 , 2.47 ,2.5898,2.1442, 2.05 ,1.9559,2.1442,2.049,1.9559
7/26/2022, 1.98 , 2.46 ,2.6419,2.1829, 2.02 ,1.9177,2.1829,2.0223,1.9177
7/27/2022, 2.02 , 2.51 ,2.6719,2.2041, 2.08 ,1.9561,2.2041,2.0813,1.9561
7/28/2022, 1.94 , 2.42 ,2.5474,2.096, 1.97 ,1.8889,2.096,1.9652,1.8889
7/29/2022, 1.93 , 2.37 ,2.5185,2.0431, 1.94 ,1.8615,2.0431,1.9421,1.8615
8/1/2022, 1.88 , 2.25 ,2.5422,2.0682, 1.89 ,1.7871,2.0682,1.8946,1.7871
8/2/2022, 1.93 , 2.26 ,2.6422,2.1638, 1.92 ,1.7915,2.1638,1.921,1.7915
8/3/2022, 1.97 , 2.27 ,2.7188,2.2449, 1.98 ,1.7988,2.2449,1.9818,1.7988
8/4/2022, 1.95 , 2.25 ,2.6847,2.1954, 1.97 ,1.7937,2.1954,1.967,1.7937
8/5/2022, 2.11 , 2.40 ,2.8458,2.3438, 2.11 ,1.941,2.3438,2.1084,1.941
8/8/2022, 2.01 , 2.32 ,2.81,2.2634, 2.00 ,1.8447,2.2634,2.0024,1.8447
8/9/2022, 2.03 , 2.31 ,2.8813,2.3473, 2.07 ,1.8461,2.3473,2.0668,1.8461
8/10/2022, 2.01 , 2.31 ,2.7995,2.2846, 2.05 ,1.8409,2.2846,2.0478,1.8409
8/11/2022, 2.12 , 2.42 ,2.8912,2.3881, 2.13 ,1.9686,2.3881,2.1265,1.9686
8/12/2022, 2.17 , 2.51 ,2.9894,2.4642, 2.17 ,2.003,2.4642,2.1699,2.003
8/15/2022, 2.08 , 2.41 ,2.9644,2.4189, 2.06 ,1.8736,2.4189,2.0595,1.8736
8/16/2022, 2.19 , 2.49 ,3.1408,2.5663, 2.14 ,1.9583,2.5663,2.1368,1.9583
8/17/2022, 2.35 , 2.59 ,3.4543,2.7659, 2.28 ,2.067,2.7659,2.2766,2.067
8/18/2022, 2.37 , 2.59 ,3.5119,2.8422, 2.36 ,2.1062,2.8422,2.3624,2.1062
8/19/2022, 2.47 , 2.68 ,3.5835,2.9547, 2.44 ,2.2291,2.9547,2.4448,2.2291
8/22/2022, 2.58 , 2.81 ,3.732,3.0904, 2.58 ,2.3241,3.0904,2.5751,2.3241
8/23/2022, 2.64 , 2.85 ,3.9125,3.2427, 2.71 ,2.3683,3.2427,2.7132,2.3683
8/24/2022, 2.77 , 2.90 ,4.0966,3.3795, 2.83 ,2.4484,3.3795,2.8296,2.4484
8/25/2022, 2.69 , 2.86 ,3.9934,3.2628, 2.70 ,2.4148,3.2628,2.7,2.4148
8/26/2022, 2.68 , 2.84 ,3.9943,3.2086, 2.69 ,2.4031,3.2086,2.6855,2.4031
8/29/2022, 2.68 , 2.84 ,3.9345,3.2147, 2.72 ,2.4112,3.2147,2.721,2.4112
8/30/2022, 2.78 , 2.94 ,4.0608,3.308, 2.75 ,2.4862,3.308,2.7529,2.4862
8/31/2022, 2.88 , 3.04 ,4.1274,3.3456, 2.78 ,2.5372,3.3456,2.7809,2.5372
9/1/2022, 2.96 , 3.15 ,4.171,3.4232, 2.85 ,2.6444,3.4232,2.8524,2.6444
9/2/2022, 3.00 , 3.24 ,4.1132,3.3895, 2.89 ,2.7105,3.3895,2.8929,2.7105
9/5/2022, 3.02 , 3.17 ,4.2749,3.5326, 2.91 ,2.6461,3.5326,2.9144,2.6461
9/6/2022, 3.18 , 3.38 ,4.2722,3.5865, 3.09 ,2.8725,3.5865,3.0852,2.8725
9/7/2022, 3.11 , 3.33 ,4.0988,3.4682, 3.03 ,2.7828,3.4682,3.03,2.7828
9/8/2022, 3.22 , 3.45 ,4.1336,3.5576, 3.17 ,2.9556,3.5576,3.1718,2.9556
9/9/2022, 3.17 , 3.43 ,4.0996,3.5285, 3.11 ,2.8844,3.5285,3.1127,2.8844
9/12/2022, 3.16 , 3.41 ,4.0933,3.5207, 3.04 ,2.8279,3.5207,3.039,2.8279
9/13/2022, 3.25 , 3.45 ,4.2529,3.6837, 3.14 ,2.9063,3.6837,3.1371,2.9063
9/14/2022, 3.20 , 3.39 ,4.2241,3.6474, 3.13 ,2.8383,3.6474,3.1341,2.8383
9/15/2022, 3.24 , 3.43 ,4.3306,3.6902, 3.15 ,2.8703,3.6902,3.1507,2.8703
9/16/2022, 3.21 , 3.40 ,4.3176,3.6873, 3.16 ,2.8397,3.6873,3.1604,2.8397
9/19/2022, 3.21 , 3.40 ,4.3183,3.6888, 3.16 ,2.8397,3.6888,3.1574,2.8397
9/20/2022, 3.37 , 3.54 ,4.5858,3.9334, 3.34 ,2.9576,3.9334,3.3446,2.9576
9/21/2022, 3.40 , 3.53 ,4.7432,4.077, 3.41 ,2.8964,4.077,3.4071,2.8964
9/22/2022, 3.57 , 3.72 ,4.8863,4.2734, 3.58 ,3.0656,4.2734,3.5835,3.0656
9/23/2022, 3.92 , 3.99 ,5.6041,4.6852, 3.90 ,3.1204,4.6852,3.9,3.1204
9/26/2022, 4.34 , 4.48 ,6.041,5.3224, 4.30 ,3.5372,5.3224,4.2998,3.5372
9/27/2022, 4.60 , 4.91 ,6.3088,5.5029, 4.77 ,3.762,5.5029,4.7672,3.762
9/28/2022, 4.10 , 3.90 ,5.7013,5.0835, 4.21 ,3.3982,5.0835,4.2144,3.3982
9/29/2022, 4.23 , 3.92 ,5.7516,5.2219, 4.45 ,3.8202,5.2219,4.4519,3.8202
9/30/2022, 4.19 , 3.77 ,5.7495,5.2644, 4.52 ,3.7181,5.2644,4.5176,3.7181
10/3/2022, 4.05 , 3.82 ,5.4529,5.0196, 4.38 ,3.5728,5.0196,4.3825,3.5728
10/4/2022, 3.96 , 3.98 ,5.2825,4.8389, 4.30 ,3.5041,4.8389,4.303,3.5041
10/5/2022, 4.11 , 4.15 ,5.5551,5.053, 4.39 ,3.5902,5.053,4.3931,3.5902
10/6/2022, 4.23 , 4.27 ,5.7082,5.2293, 4.60 ,3.7905,5.2293,4.6048,3.7905
10/7/2022, 4.29 , 4.37 ,5.7707,5.3272, 4.71 ,3.9084,5.3272,4.7101,3.9084
10/10/2022, 4.52 , 4.67 ,5.8605,5.4654, 4.95 ,4.1603,5.4654,4.9498,4.1603
10/11/2022, 4.50 , 4.74 ,5.7271,5.4435, 4.98 ,4.2069,5.4435,4.9804,4.2069
10/12/2022, 4.49 , 4.75 ,5.5772,5.3639, 5.07 ,4.3321,5.3639,5.068,4.3321
10/13/2022, 4.25 , 4.50 ,5.3434,5.0966, 4.70 ,4.001,5.0966,4.7042,4.001
10/14/2022, 4.38 , 4.73 ,5.4542,5.1952, 4.89 ,4.1577,5.1952,4.8876,4.1577
10/17/2022, 4.03 , 4.32 ,4.974,4.6765, 4.44 ,3.8228,4.6765,4.4449,3.8228
10/18/2022, 4.01 , 4.25 ,5.062,4.7233, 4.44 ,3.8042,4.7233,4.444,3.8042
10/19/2022, 3.93 , 3.93 ,4.9823,4.6229, 4.30 ,3.6478,4.6229,4.3006,3.6478
10/20/2022, 3.96 , 3.93 ,5.0561,4.6889, 4.35 ,3.7019,4.6889,4.3502,3.7019
10/21/2022, 4.10 , 4.03 ,5.137,4.762, 4.39 ,3.846,4.762,4.3941,3.846
10/24/2022, 3.80 , 3.73 ,4.9443,4.5223, 4.09 ,3.4514,4.5223,4.0886,3.4514
10/25/2022, 3.70 , 3.64 ,4.8512,4.437, 4.07 ,3.3518,4.437,4.067,3.3518
10/26/2022, 3.64 , 3.65 ,4.7245,4.3793, 3.97 ,3.3382,4.3793,3.9724,3.3382
10/27/2022, 3.46 , 3.48 ,4.6099,4.1708, 3.81 ,3.1965,4.1708,3.8088,3.1965
10/28/2022, 3.54 , 3.54 ,4.7525,4.2745, 3.85 ,3.2605,4.2745,3.8509,3.2605
10/31/2022, 3.58 , 3.58 ,4.7628,4.3279, 3.89 ,3.2607,4.3279,3.8905,3.2607
11/1/2022, 3.53 , 3.55 ,4.6624,4.2383, 3.78 ,3.2479,4.2383,3.7782,3.2479
11/2/2022, 3.46 , 3.53 ,4.5386,4.1326, 3.73 ,3.1762,4.1326,3.7265,3.1762
11/3/2022, 3.58 , 3.67 ,4.5996,4.2048, 3.86 ,3.3742,4.2048,3.8589,3.3742
11/4/2022, 3.60 , 3.72 ,4.5313,4.1856, 3.83 ,3.4032,4.1856,3.8339,3.4032
11/7/2022, 3.70 , 3.81 ,4.5427,4.1733, 3.88 ,3.4698,4.1733,3.8782,3.4698
11/8/2022, 3.62 , 3.70 ,4.5576,4.1474, 3.77 ,3.3507,4.1474,3.7679,3.3507
